Insert bullet here,19
Please start inserting bullets,19
Add bullet here,19
Put bullets here,19
Can you please start inserting bullets for selected paragraph,19
Please go to next bullet,20
Can you start from next bullet,20
Please start next bullet,20
Can you please go to next bullet,20
Can you start next bullet after this line,20
Start next bullet,20
Add next bullet,20
Please add next bullet,20
Go to next bullet,20
Kindly go to next bullet,20
Put next bullet here,20
Move to next bullet,20
Please end bullets,21
Can you end bullets,21
Can you please end Bullets,21
Exit Bullets and start new paragraph,21
Please exit from list,21
Can you end bullets here,21
Please end bullets from the selected line,21
End bullets,21
Stop bullets,21
Terminate bulleted list,21
Stop inserting bullets,21
Please stop bullets,21
Could you please stop bullets?,21
please pause dictation,22
can you pause dictation,22
please pause dictation near bold text,22
can you pause dictation near bold text,22
Please pause dictation near underlined word,22
can you pause dictation near underlined word,22
pause dictation near bold text,22
pause dictation near underlined word,22
pause dictation,22
pause dictation near the word which is bold and underlined,22
pause dictation near the word which is bold,22
pause dictation near the word which is underlined,22
Take a break from dictation,22
Please take a break from dictation,22
Halt dictation here,22
Please halt dictation,22
Halt dictation near bold text,22
Please pause dictation near underlined text,22
please stop dictation,23
can you stop dictation,23
please stop dictation near bold text,23
can you stop dictation near bold text,23
Please stop dictation near underlined word,23
can you stop dictation near underlined word,23
stop dictation near bold text,23
stop dictation near underlined word,23
stop dictation,23
stop dictation near the word which is bold and underlined,23
stop dictation near the word which is bold,23
stop dictation near the word which is underlined,23
Could you please stop dictation?,23
End dictation,23
Stop dictation near the word in bold,23
Please stop dictation near the bold word,23
Please end dictation,23
Please stop dictation near underlined text,23
Can you please stop dictation near underlined text,23
Let's stop dictation now,23
Please show all commands,24
can you show all commants,24
show all commands,24
show commands,24
please show commands,24
can you show commands,24
what commands are present,24
open all commands,24
please open all commands,24
can you open all commands,24
open commands,24
please open commands,24
Reveal all commands,24
What commands are there?,24
Can you please open all commands?,24
Can you please show all commands?,24
Display all commands,24
Display a list of commands,24
Kindly present all commands,24
Present all commands,24
Please display all commands,24
Show help,25
open help,25
please show help,25
Please open help,25
can you show help,25
can you open help,25
help me,25
Display help,25
Please display help,25
Help required,25
Help needed,25
Can you please display help?,25
Kindly display help,25
Delete that bold text,26
delete that underlined text,26
delete that italics text,26
delete last two words of line,26
delete last two lines of paragraph,26
please delete the selected text,26
selected text should be deleted,26
delete all the text in bold,26
delete all text in bold,26
delete all the text in underlined,26
delete all text in underlined,26
can you delete last two words in line,26
delete last two words in paragraph,26
delete last paragraph,26
delete selected lines,26
Delete all text,26
Could you please delete last two words in line?,26
Can you please delete the selected text?,26
Kindly delete the last paragraph,26
Delete all text that is underlined,26
Please delete all text in bold,26
Kindly delete all text in bold,26
Erase the last paragraph,26
Erase the last two words of that sentence,26
Please erase all text,26
